'Time and date','EEG Fp1','EEG Fp2','EEG F3','EEG F4','EEG F7','EEG F8','EEG T3','EEG T4','EEG C3','EEG C4','EEG T5','EEG T6','EEG P3','EEG P4','EEG O1','EEG O2','EEG Fz','EEG Cz','EEG Pz','EEG A2-A1','ECG ECG','EDF Annotations'
'[00:00:03.918 01/01/2011]',-15.049,-18.480,-24.945,-21.002,3.820,-12.783,6.128,-10.072,-25.719,-12.061,5.304,-13.988,-17.496,-19.523,-13.252,-11.485,-20.484,-10.969,-21.950,-3.748,-0.042,0.000
'[00:00:03.920 01/01/2011]',-13.479,-17.376,-22.144,-19.516,6.469,-11.981,5.659,-7.866,-24.239,-9.576,5.276,-11.692,-16.062,-17.329,-11.331,-9.831,-18.816,-8.333,-19.232,-3.410,-0.047,0.000
'[00:00:03.922 01/01/2011]',-12.214,-16.929,-19.338,-18.577,9.467,-12.363,4.894,-6.271,-22.982,-7.596,4.925,-9.951,-15.054,-15.608,-9.536,-8.245,-17.651,-6.513,-16.769,-3.136,-0.051,0.000
'[00:00:03.924 01/01/2011]',-11.444,-17.251,-16.861,-18.364,12.475,-13.970,3.855,-5.360,-22.018,-6.293,4.378,-8.873,-14.525,-14.346,-7.881,-6.773,-17.176,-5.640,-14.753,-2.959,-0.054,0.000
'[00:00:03.926 01/01/2011]',-11.251,-18.295,-14.952,-18.907,15.133,-16.599,2.593,-5.119,-21.348,-5.723,3.773,-8.483,-14.424,-13.454,-6.357,-5.406,-17.446,-5.680,-13.268,-2.890,-0.057,0.000
'[00:00:03.928 01/01/2011]',-11.584,-19.855,-13.715,-20.084,17.140,-19.829,1.185,-5.455,-20.911,-5.825,3.240,-8.725,-14.624,-12.804,-4.945,-4.090,-18.349,-6.447,-12.289,-2.916,-0.058,0.000
'[00:00:03.930 01/01/2011]',-12.272,-21.590,-13.117,-21.624,18.281,-23.100,-0.284,-6.210,-20.623,-6.430,2.875,-9.465,-14.950,-12.267,-3.633,-2.748,-19.639,-7.638,-11.699,-3.007,-0.059,0.000
'[00:00:03.932 01/01/2011]',-13.069,-23.121,-13.002,-23.172,18.475,-25.830,-1.728,-7.186,-20.387,-7.284,2.722,-10.507,-15.218,-11.746,-2.420,-1.304,-20.976,-8.897,-11.341,-3.123,-0.060,0.000
'[00:00:03.934 01/01/2011]',-13.715,-24.100,-13.140,-24.361,17.766,-27.523,-3.078,-8.170,-20.120,-8.113,2.769,-11.633,-15.279,-11.194,-1.314,0.290,-22.005,-9.875,-11.063,-3.221,-0.061,0.000
'[00:00:03.936 01/01/2011]',-13.994,-24.303,-13.291,-24.887,16.318,-27.865,-4.289,-8.969,-19.754,-8.649,2.945,-12.634,-15.059,-10.610,-0.337,2.026,-22.440,-10.292,-10.763,-3.264,-0.062,0.000
'[00:00:03.938 01/01/2011]',-13.779,-23.666,-13.250,-24.571,14.391,-26.763,-5.343,-9.444,-19.247,-8.707,3.134,-13.355,-14.568,-10.024,0.466,3.835,-22.105,-9.982,-10.411,-3.229,-0.063,0.000
'[00:00:03.940 01/01/2011]',-13.048,-22.282,-12.876,-23.395,12.316,-24.348,-6.241,-9.524,-18.568,-8.199,3.193,-13.725,-13.900,-9.485,1.030,5.566,-20.982,-8.931,-10.039,-3.101,-0.065,0.000
'[00:00:03.942 01/01/2011]',-11.875,-20.360,-12.120,-21.492,10.451,-20.925,-7.001,-9.218,-17.706,-7.167,2.998,-13.752,-13.198,-9.044,1.270,7.023,-19.195,-7.284,-9.718,-2.878,-0.066,0.000
'[00:00:03.944 01/01/2011]',-10.398,-18.163,-10.998,-19.114,9.133,-16.919,-7.643,-8.605,-16.680,-5.763,2.478,-13.515,-12.627,-8.722,1.115,7.997,-16.974,-5.305,-9.524,-2.566,-0.067,0.000
'[00:00:03.946 01/01/2011]',-8.787,-15.939,-9.600,-16.571,8.616,-12.794,-8.177,-7.794,-15.532,-4.214,1.638,-13.113,-12.313,-8.541,0.518,8.302,-14.607,-3.336,-9.510,-2.183,-0.068,0.000
'[00:00:03.948 01/01/2011]',-7.204,-13.886,-8.054,-14.176,8.998,-8.999,-8.592,-6.911,-14.337,-2.763,0.579,-12.641,-12.319,-8.490,-0.501,7.847,-12.382,-1.713,-9.680,-1.758,-0.069,0.000
'[00:00:03.950 01/01/2011]',-5.788,-12.134,-6.505,-12.187,10.211,-5.906,-8.852,-6.062,-13.182,-1.620,-0.528,-12.167,-12.619,-8.555,-1.860,6.621,-10.536,-0.695,-9.998,-1.334,-0.070,0.000
'[00:00:03.952 01/01/2011]',-4.635,-10.748,-5.089,-10.771,12.009,-3.782,-8.904,-5.328,-12.154,-0.913,-1.476,-11.728,-13.107,-8.720,-3.419,4.734,-9.218,-0.398,-10.392,-0.970,-0.070,0.000
'[00:00:03.954 01/01/2011]',-3.790,-9.743,-3.910,-9.978,14.046,-2.755,-8.676,-4.757,-11.303,-0.661,-2.062,-11.343,-13.617,-8.985,-5.000,2.378,-8.475,-0.782,-10.777,-0.724,-0.071,0.000
'[00:00:03.956 01/01/2011]',-3.252,-9.097,-3.013,-9.749,15.971,-2.810,-8.109,-4.376,-10.632,-0.797,-2.149,-11.030,-13.964,-9.348,-6.442,-0.227,-8.261,-1.683,-11.074,-0.650,-0.073,0.000
'[00:00:03.958 01/01/2011]',-2.976,-8.764,-2.390,-9.941,17.522,-3.797,-7.176,-4.192,-10.093,-1.184,-1.682,-10.818,-13.987,-9.817,-7.632,-2.848,-8.439,-2.855,-11.232,-0.780,-0.075,0.000
'[00:00:03.960 01/01/2011]',-2.882,-8.671,-1.971,-10.358,18.597,-5.462,-5.904,-4.205,-9.600,-1.669,-0.710,-10.749,-13.593,-10.405,-8.519,-5.304,-8.829,-4.046,-11.224,-1.111,-0.078,0.000
'[00:00:03.962 01/01/2011]',-2.876,-8.725,-1.672,-10.797,19.261,-7.483,-4.379,-4.406,-9.066,-2.121,0.634,-10.863,-12.773,-11.108,-9.131,-7.465,-9.239,-5.060,-11.062,-1.608,-0.080,0.000
'[00:00:03.964 01/01/2011]',-2.866,-8.824,-1.403,-11.082,19.701,-9.527,-2.741,-4.775,-8.435,-2.455,2.162,-11.188,-11.608,-11.910,-9.529,-9.264,-9.499,-5.777,-10.779,-2.204,-0.081,0.000
'[00:00:03.966 01/01/2011]',-2.775,-8.854,-1.102,-11.084,20.133,-11.290,-1.139,-5.273,-7.694,-2.638,3.683,-11.725,-10.240,-12.766,-9.789,-10.678,-9.497,-6.157,-10.424,-2.821,-0.081,0.000
'[00:00:03.968 01/01/2011]',-2.538,-8.698,-0.739,-10.746,20.716,-12.530,0.301,-5.841,-6.871,-2.666,5.041,-12.437,-8.835,-13.610,-9.949,-11.702,-9.176,-6.206,-10.047,-3.381,-0.079,0.000
'[00:00:03.970 01/01/2011]',-2.110,-8.251,-0.309,-10.061,21.501,-13.085,1.532,-6.393,-6.008,-2.545,6.152,-13.254,-7.530,-14.342,-10.006,-12.334,-8.533,-5.941,-9.683,-3.822,-0.076,0.000
'[00:00:03.972 01/01/2011]',-1.458,-7.433,0.194,-9.066,22.418,-12.884,2.595,-6.820,-5.130,-2.263,7.005,-14.072,-6.393,-14.836,-9.892,-12.559,-7.613,-5.363,-9.329,-4.107,-0.073,0.000
'[00:00:03.974 01/01/2011]',-0.566,-6.203,0.782,-7.827,23.323,-11.947,3.608,-7.012,-4.229,-1.790,7.655,-14.777,-5.422,-14.949,-9.523,-12.364,-6.476,-4.455,-8.944,-4.225,-0.069,0.000
'[00:00:03.976 01/01/2011]',0.557,-4.592,1.488,-6.424,24.039,-10.387,4.722,-6.874,-3.251,-1.080,8.177,-15.249,-4.548,-14.557,-8.812,-11.735,-5.196,-3.202,-8.443,-4.186,-0.065,0.000
'[00:00:03.978 01/01/2011]',1.858,-2.711,2.349,-4.954,24.429,-8.406,6.059,-6.351,-2.131,-0.098,8.636,-15.397,-3.676,-13.565,-7.726,-10.698,-3.851,-1.613,-7.725,-4.016,-0.061,0.000
'[00:00:03.980 01/01/2011]',3.236,-0.762,3.381,-3.519,24.419,-6.280,7.657,-5.455,-0.829,1.150,9.050,-15.180,-2.730,-11.954,-6.287,-9.306,-2.522,0.233,-6.696,-3.750,-0.059,0.000
'[00:00:03.982 01/01/2011]',4.547,1.003,4.555,-2.225,24.021,-4.335,9.451,-4.269,0.640,2.619,9.393,-14.621,-1.681,-9.795,-4.593,-7.667,-1.295,2.189,-5.307,-3.432,-0.057,0.000
'[00:00:03.984 01/01/2011]',5.625,2.320,5.786,-1.172,23.312,-2.884,11.284,-2.927,2.181,4.209,9.609,-13.807,-0.563,-7.247,-2.785,-5.901,-0.256,4.041,-3.579,-3.105,-0.057,0.000
'[00:00:03.986 01/01/2011]',6.329,2.990,6.955,-0.433,22.418,-2.177,12.945,-1.596,3.648,5.795,9.644,-12.867,0.544,-4.536,-1.023,-4.135,0.530,5.554,-1.615,-2.805,-0.057,0.000
'[00:00:03.988 01/01/2011]',6.568,2.935,7.916,-0.043,21.497,-2.337,14.245,-0.419,4.869,7.251,9.483,-11.936,1.542,-1.910,0.553,-2.473,1.027,6.516,0.418,-2.559,-0.057,0.000
'[00:00:03.990 01/01/2011]',6.346,2.224,8.554,0.029,20.701,-3.311,15.052,0.506,5.702,8.475,9.167,-11.119,2.341,0.420,1.834,-0.972,1.247,6.794,2.321,-2.374,-0.058,0.000
'[00:00:03.992 01/01/2011]',5.743,1.071,8.802,-0.138,20.162,-4.880,15.335,1.166,6.074,9.402,8.791,-10.460,2.892,2.318,2.754,0.355,1.255,6.367,3.917,-2.233,-0.058,0.000
'[00:00:03.994 01/01/2011]',4.917,-0.231,8.672,-0.413,19.954,-6.694,15.159,1.622,5.993,10.037,8.467,-9.934,3.185,3.755,3.297,1.521,1.154,5.336,5.075,-2.103,-0.059,0.000
'[00:00:03.996 01/01/2011]',4.043,-1.375,8.243,-0.646,20.077,-8.343,14.673,1.993,5.540,10.425,8.314,-9.461,3.248,4.800,3.472,2.561,1.075,3.907,5.747,-1.939,-0.059,0.000
'[00:00:03.998 01/01/2011]',3.289,-2.113,7.622,-0.685,20.443,-9.449,14.056,2.424,4.839,10.659,8.404,-8.944,3.127,5.593,3.321,3.503,1.148,2.354,5.976,-1.699,-0.059,0.000
'[00:00:04.000 01/01/2011]',2.785,-2.298,6.978,-0.415,20.890,-9.743,13.486,3.044,4.022,10.858,8.751,-8.299,2.884,6.293,2.908,4.352,1.483,0.967,5.874,-1.361,-0.057,0.408
'[00:00:04.002 01/01/2011]',2.601,-1.895,6.443,0.244,21.213,-9.099,13.109,3.931,3.211,11.147,9.319,-7.480,2.584,7.041,2.304,5.097,2.156,0.005,5.594,-0.925,-0.056,0.408
'[00:00:04.004 01/01/2011]',2.766,-0.945,6.121,1.317,21.220,-7.544,13.007,5.109,2.490,11.639,10.013,-6.498,2.293,7.921,1.596,5.711,3.195,-0.348,5.296,-0.418,-0.054,0.408
'[00:00:04.006 01/01/2011]',3.263,0.463,6.078,2.778,20.784,-5.218,13.197,6.531,1.922,12.411,10.718,-5.407,2.068,8.944,0.855,6.171,4.586,0.000,5.116,0.117,-0.053,0.408
'[00:00:04.008 01/01/2011]',4.066,2.235,6.318,4.555,19.891,-2.318,13.641,8.097,1.541,13.475,11.310,-4.300,1.949,10.060,0.142,6.448,6.269,1.028,5.137,0.632,-0.052,0.408
'[00:00:04.010 01/01/2011]',5.118,4.282,6.809,6.541,18.648,0.944,14.248,9.666,1.361,14.775,11.683,-3.282,1.944,11.167,-0.516,6.523,8.154,2.624,5.365,1.092,-0.051,0.408
'[00:00:04.012 01/01/2011]',6.370,6.516,7.491,8.601,17.267,4.369,14.903,11.084,1.368,16.187,11.752,-2.465,2.020,12.135,-1.126,6.388,10.117,4.592,5.745,1.477,-0.050,0.408
'[00:00:04.014 01/01/2011]',7.745,8.832,8.291,10.581,16.021,7.777,15.488,12.205,1.527,17.541,11.485,-1.957,2.113,12.836,-1.703,6.051,12.019,6.697,6.157,1.780,-0.049,0.408
'[00:00:04.016 01/01/2011]',9.162,11.104,9.130,12.335,15.161,10.992,15.906,12.904,1.773,18.660,10.904,-1.851,2.138,13.158,-2.267,5.541,13.725,8.695,6.456,2.006,-0.048,0.408
'[00:00:04.018 01/01/2011]',10.525,13.193,9.942,13.737,14.851,13.832,16.105,13.103,2.034,19.404,10.098,-2.205,2.023,13.032,-2.818,4.922,15.114,10.370,6.510,2.156,-0.048,0.157
'[00:00:04.020 01/01/2011]',11.757,14.968,10.673,14.703,15.115,16.111,16.083,12.789,2.240,19.697,9.213,-3.030,1.739,12.441,-3.325,4.290,16.097,11.568,6.232,2.227,-0.047,0.157
'[00:00:04.022 01/01/2011]',12.776,16.329,11.279,15.196,15.803,17.650,15.886,12.012,2.356,19.541,8.439,-4.284,1.299,11.423,-3.729,3.750,16.635,12.208,5.607,2.204,-0.047,0.157
'[00:00:04.024 01/01/2011]',13.513,17.207,11.693,15.215,16.617,18.303,15.564,10.869,2.359,18.997,7.969,-5.868,0.751,10.056,-3.972,3.410,16.708,12.277,4.677,2.067,-0.047,0.157
'[00:00:04.026 01/01/2011]',13.899,17.563,11.852,14.781,17.166,17.971,15.153,9.479,2.255,18.157,7.945,-7.648,0.152,8.442,-4.014,3.335,16.317,11.818,3.534,1.798,-0.048,0.157
'[00:00:04.028 01/01/2011]',13.851,17.354,11.660,13.910,17.053,16.611,14.615,7.943,2.039,17.075,8.426,-9.485,-0.481,6.666,-3.863,3.520,15.466,10.882,2.270,1.390,-0.050,0.157
'[00:00:04.030 01/01/2011]',13.283,16.519,11.026,12.591,15.969,14.229,13.845,6.314,1.683,15.765,9.352,-11.281,-1.183,4.785,-3.576,3.892,14.138,9.518,0.957,0.842,-0.053,0.157
'[00:00:04.032 01/01/2011]',12.115,14.992,9.871,10.802,13.773,10.885,12.684,4.590,1.133,14.182,10.549,-12.987,-2.033,2.813,-3.255,4.312,12.313,7.746,-0.370,0.171,-0.056,0.157
'[00:00:04.034 01/01/2011]',10.321,12.751,8.158,8.527,10.542,6.710,10.985,2.717,0.331,12.260,11.775,-14.623,-3.124,0.743,-3.006,4.612,9.983,5.572,-1.698,-0.597,-0.059,0.157
'[00:00:04.036 01/01/2011]',7.968,9.871,5.953,5.802,6.552,1.915,8.688,0.643,-0.752,9.958,12.774,-16.238,-4.510,-1.422,-2.927,4.647,7.203,3.021,-3.016,-1.422,-0.061,0.000
'[00:00:04.038 01/01/2011]',5.232,6.571,3.412,2.753,2.247,-3.159,5.878,-1.637,-2.070,7.316,13.345,-17.887,-6.165,-3.635,-3.071,4.325,4.121,0.165,-4.284,-2.249,-0.063,0.000
'[00:00:04.040 01/01/2011]',2.402,3.209,0.787,-0.384,-1.859,-8.064,2.813,-4.043,-3.492,4.479,13.406,-19.566,-7.963,-5.784,-3.454,3.615,0.987,-2.845,-5.426,-3.013,-0.064,0.000
'[00:00:04.042 01/01/2011]',-0.159,0.236,-1.600,-3.288,-5.273,-12.266,-0.126,-6.396,-4.814,1.688,13.000,-21.203,-9.695,-7.692,-4.044,2.568,-1.871,-5.772,-6.338,-3.643,-0.063,0.000
'[00:00:04.044 01/01/2011]',-2.113,-1.926,-3.438,-5.608,-7.628,-15.249,-2.515,-8.446,-5.799,-0.763,12.289,-22.658,-11.123,-9.162,-4.798,1.267,-4.106,-8.331,-6.936,-4.074,-0.063,0.000
'[00:00:04.046 01/01/2011]',-3.217,-2.984,-4.493,-7.051,-8.745,-16.615,-4.006,-9.931,-6.241,-2.612,11.502,-23.750,-12.032,-10.017,-5.673,-0.197,-5.432,-10.242,-7.162,-4.261,-0.061,0.000
'[00:00:04.048 01/01/2011]',-3.389,-2.858,-4.662,-7.449,-8.666,-16.199,-4.419,-10.641,-6.024,-3.667,10.867,-24.314,-12.288,-10.149,-6.633,-1.746,-5.699,-11.298,-7.028,-4.194,-0.059,0.000
'[00:00:04.050 01/01/2011]',-2.721,-1.688,-3.995,-6.801,-7.630,-14.120,-3.785,-10.474,-5.137,-3.867,10.555,-24.240,-11.866,-9.558,-7.654,-3.320,-4.926,-11.417,-6.609,-3.902,-0.057,0.000
'[00:00:04.052 01/01/2011]',-1.440,0.225,-2.681,-5.263,-6.022,-10.762,-2.333,-9.459,-3.681,-3.269,10.659,-23.508,-10.849,-8.351,-8.720,-4.887,-3.293,-10.666,-6.008,-3.450,-0.055,0.000
'[00:00:04.054 01/01/2011]',0.159,2.510,-0.987,-3.096,-4.289,-6.689,-0.420,-7.739,-1.816,-2.024,11.177,-22.180,-9.389,-6.710,-9.811,-6.403,-1.079,-9.240,-5.332,-2.926,-0.054,0.000
'[00:00:04.056 01/01/2011]',1.804,4.846,0.813,-0.605,-2.839,-2.509,1.564,-5.542,0.279,-0.327,12.046,-20.395,-7.675,-4.872,-10.887,-7.825,1.400,-7.416,-4.649,-2.417,-0.054,0.000
'[00:00:04.058 01/01/2011]',3.292,7.006,2.492,1.936,-1.983,1.239,3.275,-3.118,2.445,1.623,13.166,-18.326,-5.890,-3.062,-11.888,-9.084,3.867,-5.491,-3.978,-1.999,-0.055,0.000
'[00:00:04.060 01/01/2011]',4.511,8.883,3.908,4.318,-1.885,4.183,4.474,-0.703,4.566,3.649,14.430,-16.153,-4.184,-1.470,-12.741,-10.098,6.122,-3.718,-3.305,-1.716,-0.057,0.000
'[00:00:04.062 01/01/2011]',5.432,10.437,5.004,6.405,-2.563,6.140,5.030,1.500,6.560,5.607,15.735,-14.048,-2.669,-0.232,-13.348,-10.773,8.047,-2.281,-2.599,-1.583,-0.060,0.000
'[00:00:04.064 01/01/2011]',6.059,11.649,5.779,8.112,-3.908,7.088,4.923,3.337,8.360,7.371,16.975,-12.158,-1.421,0.588,-13.626,-11.030,9.589,-1.279,-1.846,-1.585,-0.064,0.000
'[00:00:04.066 01/01/2011]',6.404,12.473,6.267,9.383,-5.745,7.116,4.200,4.692,9.890,8.848,18.041,-10.614,-0.486,0.989,-13.514,-10.820,10.720,-0.744,-1.056,-1.693,-0.067,0.000
'[00:00:04.068 01/01/2011]',6.463,12.825,6.502,10.178,-7.865,6.375,2.950,5.490,11.064,9.952,18.802,-9.518,0.099,1.020,-12.996,-10.131,11.420,-0.656,-0.275,-1.868,-0.070,0.000
'[00:00:04.070 01/01/2011]',6.211,12.605,6.489,10.457,-10.086,5.030,1.282,5.689,11.771,10.629,19.124,-8.954,0.309,0.770,-12.109,-9.002,11.668,-0.983,0.434,-2.069,-0.072,0.000
'[00:00:04.072 01/01/2011]',5.614,11.737,6.208,10.197,-12.277,3.247,-0.695,5.292,11.889,10.842,18.876,-8.956,0.126,0.346,-10.957,-7.510,11.437,-1.684,1.016,-2.260,-0.072,0.000
'[00:00:04.074 01/01/2011]',4.641,10.210,5.608,9.400,-14.384,1.187,-2.901,4.336,11.316,10.578,17.972,-9.499,-0.475,-0.153,-9.687,-5.761,10.708,-2.733,1.418,-2.410,-0.072,0.000
'[00:00:04.076 01/01/2011]',3.289,8.096,4.608,8.089,-16.422,-0.992,-5.290,2.907,9.964,9.833,16.384,-10.502,-1.502,-0.640,-8.456,-3.885,9.482,-4.112,1.601,-2.494,-0.071,0.000
'[00:00:04.078 01/01/2011]',1.573,5.551,3.121,6.326,-18.466,-3.144,-7.854,1.126,7.802,8.623,14.153,-11.812,-2.948,-1.061,-7.413,-1.999,7.785,-5.808,1.525,-2.498,-0.070,0.000
'[00:00:04.080 01/01/2011]',-0.459,2.785,1.081,4.192,-20.609,-5.146,-10.616,-0.857,4.875,6.978,11.389,-13.238,-4.783,-1.394,-6.659,-0.207,5.674,-7.793,1.157,-2.414,-0.068,0.000
'[00:00:04.082 01/01/2011]',-2.721,0.037,-1.518,1.806,-22.917,-6.907,-13.587,-2.884,1.311,4.970,8.245,-14.573,-6.927,-1.640,-6.233,1.412,3.250,-10.004,0.480,-2.249,-0.066,0.000
'[00:00:04.084 01/01/2011]',-5.080,-2.461,-4.583,-0.687,-25.376,-8.370,-16.727,-4.792,-2.640,2.728,4.907,-15.629,-9.257,-1.804,-6.110,2.811,0.664,-12.326,-0.494,-2.015,-0.064,0.000
'[00:00:04.086 01/01/2011]',-7.362,-4.506,-7.882,-3.106,-27.885,-9.516,-19.907,-6.423,-6.635,0.447,1.556,-16.265,-11.595,-1.886,-6.228,3.967,-1.884,-14.579,-1.692,-1.738,-0.063,0.000
'[00:00:04.088 01/01/2011]',-9.348,-5.935,-11.080,-5.230,-30.235,-10.344,-22.891,-7.642,-10.266,-1.613,-1.627,-16.411,-13.734,-1.876,-6.497,4.869,-4.148,-16.524,-2.976,-1.447,-0.062,0.000
'[00:00:04.090 01/01/2011]',-10.803,-6.627,-13.740,-6.820,-32.177,-10.855,-25.369,-8.334,-13.098,-3.155,-4.472,-16.062,-15.456,-1.742,-6.829,5.531,-5.852,-17.886,-4.156,-1.169,-0.061,0.000
'[00:00:04.092 01/01/2011]',-11.501,-6.510,-15.427,-7.641,-33.462,-11.028,-27.010,-8.414,-14.757,-3.901,-6.825,-15.278,-16.582,-1.446,-7.164,5.951,-6.738,-18.394,-5.025,-0.929,-0.061,0.000
'[00:00:04.094 01/01/2011]',-11.275,-5.551,-15.777,-7.503,-33.914,-10.804,-27.545,-7.829,-14.991,-3.640,-8.551,-14.145,-16.992,-0.952,-7.468,6.143,-6.599,-17.831,-5.416,-0.735,-0.060,0.000
'[00:00:04.096 01/01/2011]',-10.042,-3.779,-14.589,-6.291,-33.475,-10.093,-26.833,-6.566,-13.723,-2.270,-9.556,-12.760,-16.658,-0.237,-7.748,6.106,-5.321,-16.073,-5.246,-0.586,-0.060,0.000
'[00:00:04.098 01/01/2011]',-7.841,-1.287,-11.852,-4.004,-32.209,-8.794,-24.905,-4.662,-11.068,0.172,-9.805,-11.216,-15.642,0.688,-8.043,5.841,-2.918,-13.137,-4.547,-0.462,-0.060,0.000
'[00:00:04.100 01/01/2011]',-4.828,1.758,-7.780,-0.757,-30.292,-6.826,-21.953,-2.204,-7.320,3.521,-9.350,-9.582,-14.088,1.774,-8.419,5.341,0.469,-9.185,-3.461,-0.340,-0.061,0.000
'[00:00:04.102 01/01/2011]',-1.268,5.115,-2.758,3.218,-27.964,-4.174,-18.295,0.652,-2.895,7.501,-8.318,-7.917,-12.185,2.933,-8.952,4.599,4.582,-4.518,-2.203,-0.196,-0.061,0.000
'[00:00:04.104 01/01/2011]',2.515,8.500,2.730,7.615,-25.479,-0.919,-14.297,3.703,1.735,11.766,-6.913,-6.283,-10.136,4.046,-9.704,3.618,9.088,0.470,-1.005,-0.020,-0.061,0.000
'[00:00:04.106 01/01/2011]',6.187,11.627,8.171,12.098,-23.061,2.756,-10.308,6.702,6.137,15.948,-5.367,-4.757,-8.115,4.993,-10.705,2.418,13.637,5.355,-0.057,0.186,-0.061,0.000
'[00:00:04.108 01/01/2011]',9.458,14.267,13.114,16.360,-20.875,6.607,-6.598,9.407,9.971,19.715,-3.889,-3.426,-6.252,5.679,-11.927,1.034,17.909,9.743,0.528,0.405,-0.061,0.000
'[00:00:04.110 01/01/2011]',12.136,16.296,17.239,20.160,-19.019,10.367,-3.336,11.611,13.031,22.807,-2.625,-2.386,-4.611,6.057,-13.274,-0.447,21.665,13.338,0.725,0.609,-0.061,0.000
'[00:00:04.112 01/01/2011]',14.136,17.707,20.357,23.349,-17.530,13.799,-0.602,13.181,15.256,25.058,-1.623,-1.713,-3.195,6.141,-14.592,-1.919,24.768,15.984,0.599,0.769,-0.062,0.000
'[00:00:04.114 01/01/2011]',15.474,18.606,22.410,25.865,-16.398,16.734,1.585,14.073,16.678,26.414,-0.834,-1.453,-1.967,6.006,-15.692,-3.260,27.165,17.665,0.250,0.863,-0.062,0.000
'[00:00:04.116 01/01/2011]',16.219,19.132,23.437,27.703,-15.609,19.060,3.216,14.322,17.388,26.904,-0.151,-1.620,-0.884,5.742,-16.396,-4.347,28.868,18.486,-0.210,0.873,-0.062,0.000
'[00:00:04.118 01/01/2011]',16.458,19.413,23.529,28.875,-15.153,20.686,4.270,14.008,17.476,26.619,0.542,-2.195,0.083,5.447,-16.573,-5.089,29.897,18.620,-0.684,0.782,-0.062,0.000
'[00:00:04.120 01/01/2011]',16.251,19.487,22.803,29.374,-15.037,21.523,4.702,13.223,17.005,25.668,1.321,-3.142,0.913,5.160,-16.173,-5.439,30.257,18.265,-1.121,0.579,-0.062,0.000
'[00:00:04.122 01/01/2011]',15.631,19.316,21.388,29.180,-15.286,21.466,4.476,12.037,16.020,24.166,2.184,-4.429,1.547,4.876,-15.235,-5.404,29.932,17.586,-1.513,0.249,-0.062,0.000
'[00:00:04.124 01/01/2011]',14.624,18.811,19.437,28.272,-15.912,20.416,3.605,10.498,14.569,22.210,3.067,-6.020,1.901,4.542,-13.871,-5.034,28.908,16.719,-1.876,-0.212,-0.062,0.000
'[00:00:04.126 01/01/2011]',13.291,17.907,17.152,26.675,-16.891,18.343,2.202,8.662,12.752,19.919,3.860,-7.862,1.908,4.106,-12.227,-4.415,27.219,15.746,-2.227,-0.794,-0.062,0.000
'[00:00:04.128 01/01/2011]',11.744,16.623,14.781,24.499,-18.135,15.342,0.493,6.615,10.751,17.446,4.464,-9.859,1.557,3.537,-10.445,-3.618,24.978,14.723,-2.575,-1.464,-0.062,0.000
'[00:00:04.130 01/01/2011]',10.160,15.084,12.583,21.935,-19.501,11.653,-1.204,4.498,8.811,14.986,4.835,-11.864,0.925,2.871,-8.637,-2.708,22.398,13.700,-2.887,-2.162,-0.062,0.000
'[00:00:04.132 01/01/2011]',8.731,13.478,10.819,19.256,-20.808,7.639,-2.544,2.503,7.207,12.772,4.990,-13.684,0.167,2.197,-6.856,-1.714,19.750,12.715,-3.098,-2.815,-0.062,0.000
'[00:00:04.134 01/01/2011]',7.627,11.986,9.671,16.748,-21.877,3.712,-3.234,0.837,6.177,11.029,5.002,-15.108,-0.506,1.651,-5.124,-0.647,17.333,11.813,-3.132,-3.352,-0.062,0.000
'[00:00:04.136 01/01/2011]',6.921,10.710,9.216,14.653,-22.584,0.237,-3.108,-0.334,5.858,9.923,4.964,-15.968,-0.888,1.357,-3.450,0.485,15.384,11.023,-2.911,-3.722,-0.060,0.000
'[00:00:04.138 01/01/2011]',6.584,9.639,9.406,13.122,-22.880,-2.544,-2.168,-0.934,6.258,9.527,4.955,-16.188,-0.836,1.401,-1.849,1.661,14.041,10.365,-2.391,-3.906,-0.058,0.000
'[00:00:04.140 01/01/2011]',6.511,8.676,10.103,12.197,-22.799,-4.525,-0.573,-0.981,7.252,9.792,5.004,-15.801,-0.295,1.807,-0.363,2.851,13.320,9.851,-1.574,-3.919,-0.055,0.000
'[00:00:04.142 01/01/2011]',6.565,7.719,11.100,11.832,-22.431,-5.718,1.415,-0.586,8.626,10.582,5.100,-14.937,0.677,2.539,0.947,3.997,13.136,9.490,-0.496,-3.798,-0.052,0.000
'[00:00:04.144 01/01/2011]',6.653,6.735,12.230,11.929,-21.885,-6.178,3.493,0.110,10.138,11.713,5.210,-13.783,1.941,3.533,2.024,5.054,13.362,9.304,0.779,-3.584,-0.049,0.000
'[00:00:04.146 01/01/2011]',6.755,5.822,13.357,12.389,-21.248,-5.942,5.385,0.986,11.562,13.005,5.300,-12.511,3.314,4.714,2.831,5.996,13.859,9.324,2.180,-3.303,-0.048,0.000
'[00:00:04.148 01/01/2011]',6.930,5.176,14.423,13.134,-20.579,-5.009,6.878,1.972,12.735,14.339,5.347,-11.236,4.613,6.024,3.351,6.806,14.532,9.576,3.641,-2.962,-0.047,0.000
'[00:00:04.150 01/01/2011]',7.271,5.014,15.409,14.098,-19.911,-3.362,7.831,3.054,13.544,15.626,5.349,-9.998,5.678,7.415,3.594,7.485,15.313,10.071,5.095,-2.550,-0.048,0.000
